020 Container Push Test (SmallObject) : 6000000 samples ,average, %,num,allocated(Kb),peak_allocated(Kb),alloc count, free count
#1:using std::vector,46.354,100.000,1,40.000,60.000,12,11
#2:using boost::container::vector,65.733,141.805,2,46.844,78.078,20,19
#3:using std::deque,38.274,82.568,3,41.734,41.734,86,4
#4:using boost::container::deque,51.468,111.031,4,41.734,41.734,86,4
#5:using boost::fibonacci_heap,171.398,369.755,5,156.250,156.250,2000,0
#6:using std::priority_queue,91.589,197.584,6,40.000,60.000,12,11
#7:using boost::stable_vector,438.823,946.671,7,81.234,81.234,2017,16
021 Container Push Test (LargeObject) : 20000 samples ,average, %,num,allocated(Kb),peak_allocated(Kb),alloc count, free count
#1:using std::vector,4353.850,100.000,1,4096.000,6144.000,12,11
#2:using boost::container::vector,8396.600,192.855,2,4796.000,7994.000,20,19
#3:using std::deque,2351.050,53.9993,3,4041.984,4041.984,2011,9
#4:using boost::container::deque,2472.550,56.79,4,4041.984,4041.984,2011,9
#5:using boost::fibonacci_heap,2954.550,67.8606,5,4125.000,4125.000,2000,0
#6:using std::priority_queue,7428.150,170.611,6,4096.000,6144.000,12,11
#7:using boost::stable_vector,2871.550,65.9543,7,4049.984,4049.984,2017,16
022 Container Push vs Emplace Test (SmallObject) : 20000000 samples ,average, %,num,allocated(Kb),peak_allocated(Kb),alloc count, free count
#1:push_back with std::vector,45.596,100.000,1,40.000,60.000,12,11
#2:emplace_back with std::vector,35.951,78.8469,2,40.000,60.000,12,11
#3:push_back with boost::vector,63.966,140.287,3,46.844,78.078,20,19
#4:emplace_back with boost::vector,54.439,119.394,4,46.844,78.078,20,19
#5:push_back with std::deque,37.353,81.9222,5,41.734,41.734,86,4
#6:emplace_back with std::deque,26.700,58.5578,6,41.734,41.734,86,4
#7:push_back with boost::deque,50.865,111.554,7,41.734,41.734,86,4
#8:emplace_back with boost:deque,34.911,76.5662,8,41.734,41.734,86,4
023 Container Push vs Emplace Test (LargeObject) : 40000 samples ,average, %,num,allocated(Kb),peak_allocated(Kb),alloc count, free count
#1:push_back with std::vector,4027.875,100.000,1,4096.000,6144.000,12,11
#2:emplace_back with std::vector,3645.350,90.5031,2,4096.000,6144.000,12,11
#3:push_back with boost::vector,7363.450,182.812,3,4796.000,7994.000,20,19
#4:emplace_back with boost::vector,6948.700,172.515,4,4796.000,7994.000,20,19
#5:push_back with std::deque,2105.400,52.2707,5,4041.984,4041.984,2011,9
#6:emplace_back with std::deque,1388.000,34.4599,6,4041.984,4041.984,2011,9
#7:push_back with boost::deque,2169.850,53.8708,7,4041.984,4041.984,2011,9
#8:emplace_back with boost:deque,1417.525,35.1929,8,4041.984,4041.984,2011,9
