020 Container Push Test (SmallObject) : 6000000 samples ,average, %,num,allocated(Kb),peak_allocated(Kb),alloc count, free count
#1:using std::vector,51.925,100.000,1,40.000,60.000,12,11
#2:using boost::container::vector,63.807,122.882,2,46.844,78.078,20,19
#3:using std::deque,34.281,66.0204,3,39.969,39.969,15,4
#4:using boost::container::deque,55.231,106.367,4,41.734,41.734,86,4
#5:using boost::fibonacci_heap,143.979,277.281,5,156.250,156.250,2000,0
#6:using std::priority_queue,146.105,281.375,6,40.000,60.000,12,11
#7:using boost::stable_vector,496.690,956.547,7,81.234,81.234,2017,16
021 Container Push Test (LargeObject) : 20000 samples ,average, %,num,allocated(Kb),peak_allocated(Kb),alloc count, free count
#1:using std::vector,3246.900,100.000,1,4096.000,6144.000,12,11
#2:using boost::container::vector,6154.700,189.556,2,4796.000,7994.000,20,19
#3:using std::deque,1547.350,47.6562,3,4033.000,4033.000,134,7
#4:using boost::container::deque,2028.500,62.475,4,4041.984,4041.984,2011,9
#5:using boost::fibonacci_heap,1827.700,56.2906,5,4125.000,4125.000,2000,0
#6:using std::priority_queue,4731.650,145.728,6,4096.000,6144.000,12,11
#7:using boost::stable_vector,2523.400,77.7172,7,4049.984,4049.984,2017,16
022 Container Push vs Emplace Test (SmallObject) : 20000000 samples ,average, %,num,allocated(Kb),peak_allocated(Kb),alloc count, free count
#1:push_back with std::vector,50.818,100.000,1,40.000,60.000,12,11
#2:emplace_back with std::vector,41.938,82.5257,2,40.000,60.000,12,11
#3:push_back with boost::vector,64.072,126.081,3,46.844,78.078,20,19
#4:emplace_back with boost::vector,55.086,108.397,4,46.844,78.078,20,19
#5:push_back with std::deque,33.784,66.4802,5,39.969,39.969,15,4
#6:emplace_back with std::deque,29.424,57.8999,6,39.969,39.969,15,4
#7:push_back with boost::deque,55.920,110.04,7,41.734,41.734,86,4
#8:emplace_back with boost:deque,41.401,81.4692,8,41.734,41.734,86,4
023 Container Push vs Emplace Test (LargeObject) : 40000 samples ,average, %,num,allocated(Kb),peak_allocated(Kb),alloc count, free count
#1:push_back with std::vector,2883.925,100.000,1,4096.000,6144.000,12,11
#2:emplace_back with std::vector,2587.425,89.7189,2,4096.000,6144.000,12,11
